scan_id,rp_id,device_id,collector_id,total_ap_scanned,azimuth_deg,split,88:dc:97:12:62:c6,88:dc:97:12:62:c7,88:dc:97:12:62:cc,88:dc:97:12:62:cf,88:dc:97:12:62:d0,88:dc:97:12:64:82,88:dc:97:12:64:83,88:dc:97:12:64:c4,88:dc:97:12:65:21,88:dc:97:12:65:22,88:dc:97:12:65:2a,88:dc:97:12:65:2b,88:dc:97:12:65:57,88:dc:97:12:65:58,88:dc:97:12:65:63,88:dc:97:12:65:64,8e:dc:97:12:62:c6,8e:dc:97:12:62:c7,8e:dc:97:12:62:cc,8e:dc:97:12:62:cf,8e:dc:97:12:62:d0,8e:dc:97:12:64:82,8e:dc:97:12:64:83,8e:dc:97:12:64:c4,8e:dc:97:12:65:21,8e:dc:97:12:65:22,8e:dc:97:12:65:2a,8e:dc:97:12:65:2b,8e:dc:97:12:65:57,8e:dc:97:12:65:58,8e:dc:97:12:65:63,8e:dc:97:12:65:64,b4:5d:50:d7:e9:40,b4:5d:50:d7:e9:41,b4:5d:50:d7:e9:50,b4:5d:50:d7:e9:51
2025:01:24:07:49:12,RP01,SM-S908E,2212343,26,-1.5967611,train,0.350649351,0.771428571,0,0.446153846,0.525423729,0.470588235,0.238095238,0,0.446153846,0,0.517241379,0.5,0,0,0.892857143,0.759259259,0.349206349,0.771428571,0,0.446153846,0.525423729,0.489795918,0.238095238,0,0.358208955,0,0.517241379,0.5,0,0,0.892857143,0.759259259,0.666666667,0.649122807,0.574074074,0.574074074
2025:01:24:07:53:58,RP01,SM-S908E,2212343,25,-0.55715793,train,0.363636364,0.942857143,0,0.430769231,0.423728814,0.215686275,0,0,0.307692308,0.305084746,0.465517241,0.464285714,0,0,0.892857143,0.796296296,0.412698413,0.942857143,0,0.430769231,0.423728814,0,0,0,0.373134328,0.305084746,0.465517241,0.464285714,0,0,0.875,0.796296296,0.631578947,0.614035088,0.5,0.5
2025:01:24:07:51:56,RP01,SM-S908E,2212343,27,-0.5923939,train,0.324675325,0.914285714,0,0.4,0.440677966,0.274509804,0,0,0.307692308,0.338983051,0.413793103,0.5,0.176470588,0,0.839285714,0.759259259,0.396825397,0.914285714,0,0.4,0.423728814,0.306122449,0,0,0.298507463,0.338983051,0.413793103,0.5,0,0,0.839285714,0.777777778,0.596491228,0.614035088,0.5,0.5
2025:01:24:07:58:23,RP01,SM-S908E,2212343,26,-2.9066854,train,0.233766234,0.628571429,0,0.369230769,0.288135593,0.333333333,0,0,0.307692308,0.305084746,0.413793103,0.392857143,0,0,0.910714286,0.703703704,0.285714286,0.628571429,0,0.369230769,0.288135593,0.346938776,0,0,0.298507463,0.305084746,0.413793103,0.392857143,0,0,0.910714286,0.703703704,0.49122807,0.49122807,0.37037037,0.388888889
2025:01:24:07:57:49,RP01,SM-S908E,2212343,28,0.68075335,train,0.220779221,0.628571429,0.162162162,0.415384615,0.305084746,0.31372549,0.214285714,0,0.307692308,0.355932203,0.413793103,0.428571429,0,0,0.892857143,0.722222222,0.26984127,0.628571429,0.162162162,0.415384615,0.305084746,0.346938776,0.214285714,0,0.298507463,0.355932203,0.413793103,0.410714286,0,0,0.892857143,0.722222222,0,0,0.462962963,0.462962963
2025:01:24:07:54:44,RP01,SM-S908E,2212343,28,0.670651,train,0.25974026,0.657142857,0,0.446153846,0.389830508,0.235294118,0.261904762,0,0.276923077,0.288135593,0.310344828,0.517857143,0,0,0.767857143,0.592592593,0.301587302,0.657142857,0,0.446153846,0.372881356,0.224489796,0.261904762,0,0.268656716,0.288135593,0.310344828,0.5,0,0,0.767857143,0.62962963,0.315789474,0.315789474,0.5,0.5
2025:01:24:07:47:57,RP01,SM-S908E,2212343,32,-1.5785981,train,0.272727273,0.771428571,0,0.276923077,0.474576271,0.431372549,0.285714286,0,0.384615385,0.322033898,0.482758621,0.607142857,0.156862745,0.363636364,0.892857143,0.759259259,0.349206349,0.742857143,0,0.276923077,0.474576271,0.448979592,0.30952381,0,0.343283582,0.322033898,0.482758621,0.607142857,0.2,0.363636364,0.892857143,0.759259259,0.596491228,0.614035088,0.5,0.518518519
2025:01:24:08:01:21,RP01,SM-S908E,2212343,31,-2.8598163,train,0.246753247,0.6,0,0.461538462,0.440677966,0.450980392,0.357142857,0,0.353846154,0.305084746,0.431034483,0.357142857,0.215686275,0.303030303,0.803571429,0.666666667,0.301587302,0.571428571,0,0.446153846,0.440677966,0.469387755,0.357142857,0,0.343283582,0.305084746,0.448275862,0.357142857,0.288888889,0,0.803571429,0.666666667,0.561403509,0.561403509,0.425925926,0.425925926
2025:01:24:07:47:13,RP01,SM-S908E,2212343,29,-1.5759959,train,0.350649351,0.828571429,0,0.415384615,0.457627119,0.411764706,0.261904762,0,0.307692308,0.355932203,0.517241379,0.517857143,0,0.484848485,0.910714286,0.722222222,0.349206349,0.828571429,0,0.415384615,0.457627119,0,0.261904762,0,0.28358209,0.355932203,0.5,0.5,0,0.454545455,0.910714286,0.722222222,0.649122807,0.649122807,0.5,0.5
2025:01:24:07:46:22,RP01,SM-S908E,2212343,34,-1.5851123,train,0.363636364,0.828571429,0,0.6,0.694915254,0.450980392,0.357142857,0.285714286,0.538461538,0.406779661,0.603448276,0.517857143,0.352941176,0.424242424,0.821428571,1,0.444444444,0.828571429,0,0.6,0.694915254,0.448979592,0.357142857,0.382352941,0.52238806,0.406779661,0.603448276,0.517857143,0.377777778,0.424242424,0.839285714,1,0.736842105,0.736842105,0.777777778,0.777777778
