Time,WiFi fingerprint serial number,WiFi AP serial number,Total number of AP scanned,WiFi SSID,WiFi BSSID,WiFi Frequency (MHz),WiFi RSSI (dBm),Magnetic x (µT),Magnetic y (µT),Magnetic z (µT),GPS Longitude (°),GPS Latitude (°),GPS Altitude (m),Orientation Azimuth (°),Orientation Pitch (°),Orientation Roll (°),Phone Model,Student ID,Reference Point ID
2025:01:24:10:19:36,1,1,36,DLU-Teacher,88:dc:97:12:62:cf,2427,-66,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,2,36,ITDLU-SRV,bc:a9:93:0b:fe:00,2412,-94,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,3,36,DLU-Student,8e:dc:97:12:65:63,2412,-70,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,4,36,DLU-Student,8e:dc:97:12:65:21,2452,-60,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,5,36,DLU-Student,8e:dc:97:12:65:64,5805,-67,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,6,36,DLU-Student,8e:dc:97:12:65:2b,5200,-42,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,7,36,DLU-Teacher,88:dc:97:12:64:c4,2447,-75,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,8,36,DLU-Teacher,88:dc:97:12:62:c6,2432,-82,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,9,36,DLU-Student,8e:dc:97:12:62:cf,2427,-66,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,10,36,Free Wi-MESH,b4:5d:50:d7:e9:51,5220,-79,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,11,36,DLU - WIMESH,b4:5d:50:d7:e9:50,5220,-79,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,12,36,DLU-Teacher,88:dc:97:12:64:c5,5240,-84,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
2025:01:24:10:19:36,1,13,36,DLU-Student,8e:dc:97:12:65:22,5220,-64,62.156254,-2.8875,-57.80625,108.4448844,11.9572527,1523.699951171875,-1.6095252,-0.007515728,-0.025641622,SM-S908E,2212343,RP17
