Time,WiFi fingerprint serial number,WiFi AP serial number,Total number of AP scanned,WiFi SSID,WiFi BSSID,WiFi Frequency (MHz),WiFi RSSI (dBm),Magnetic x (µT),Magnetic y (µT),Magnetic z (µT),GPS Longitude (°),GPS Latitude (°),GPS Altitude (m),Orientation Azimuth (°),Orientation Pitch (°),Orientation Roll (°),Phone Model,Student ID,Reference Point ID
2026:09:06:16:57:14,1,1,32,DLU-Teacher,88:dc:97:12:65:57,2412,-69,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,2,32,DLU-Teacher,88:dc:97:12:64:82,2432,-64,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,3,32,DLU-Student-Lib,8e:dc:97:12:62:c7,5500,-57,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,4,32,DLU-Student-Lib,8e:dc:97:12:62:c6,2452,-65,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,5,32,DLU-Teacher,88:dc:97:12:65:2b,5805,-78,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,6,32,DLU-Student-Lib,8e:dc:97:12:62:d0,5805,-67,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,7,32,TTTV-Intern2026,58:c1:7a:c2:dd:20,2412,-74,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,8,32,DLU-Student-Lib,8e:dc:97:12:65:64,5200,-81,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,9,32,DIRECT-ed-HP M203 LaserJet,5e:ea:1d:bb:49:ed,2462,-78,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,10,32,DLU-Teacher,88:dc:97:12:65:58,5280,-77,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,11,32,DLU-Student-Lib,8e:dc:97:12:64:c4,2452,-75,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,12,32,DLU-Teacher,88:dc:97:12:65:64,5200,-81,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,13,32,DLU-Teacher,88:dc:97:12:65:63,2452,-76,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,14,32,DLU-Student-Lib,8e:dc:97:12:65:2b,5805,-79,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,15,32,DLU-Teacher,88:dc:97:12:62:c6,2452,-63,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,16,32,DLU-Teacher,88:dc:97:12:62:c7,5500,-61,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,17,32,DLU-Student-Lib,8e:dc:97:12:64:82,2432,-65,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,18,32,DLU-Student-Lib,8e:dc:97:12:65:58,5280,-77,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,19,32,DLU-Student-Lib,8e:dc:97:12:65:57,2412,-70,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,20,32,DLU-Teacher,88:dc:97:12:62:cf,2412,-60,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,21,32,DLU-Teacher,88:dc:97:12:62:cd,5200,-85,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,22,32,DLU-Teacher,88:dc:97:12:62:cc,2422,-80,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,23,32,DLU-Student-Lib,8e:dc:97:12:62:cf,2412,-61,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,24,32,1.Free Wi-MESH,b4:5d:50:d7:e9:51,5220,-57,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,25,32,DLU - WIMESH,b4:5d:50:d7:e9:50,5220,-57,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,26,32,DLU-Student-Lib,8e:dc:97:12:62:cd,5200,-85,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,27,32,DLU-Student-Lib,8e:dc:97:12:65:22,5765,-80,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,28,32,DLU-Teacher,88:dc:97:12:62:d0,5805,-66,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,29,32,DLU - WIMESH,b4:5d:50:d7:e9:40,2462,-52,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,30,32,DLU-Teacher,88:dc:97:12:65:22,5765,-79,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,31,32,DLU-Teacher,88:dc:97:12:65:21,2412,-77,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:57:14,1,32,32,1.Free Wi-MESH,b4:5d:50:d7:e9:41,2462,-50,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:58:05,2,1,30,DLU-Teacher,88:dc:97:12:65:57,2412,-70,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:58:05,2,2,30,DLU-Teacher,88:dc:97:12:64:82,2432,-65,,,,,,,,,,M2012K11C,2212343,RP47
2026:09:06:16:58:05,2,3,30,DLU-Teacher,88:dc:97:12:64:83,5300,-64,,,,,,,,,,M2012K11C,2212343,RP47
