rp_id,x,y,thu_tu
RP46,-35.0,4.5,1
RP47,-21.5,3.5,2
RP48,-15.5,0.0,3
RP49,-8.0,2.0,4
RP50,7.5,2.0,5
RP51,15.5,0.0,6
RP52,21.0,5.0,7
RP53,34.5,1.0,8
RP54,25.5,15.0,9
RP55,19.0,12.5,10
RP56,-0.5,10.5,11
RP57,-20.5,10.5,12
RP58,-21.5,17.0,13
RP59,-7.5,17.5,14
RP60,7.5,17.5,15
RP61,19.5,19.5,16
RP62,33.0,17.5,17
RP63,33.5,26.5,18
RP64,19.5,26.5,19
RP65,10.0,31.5,20
RP66,4.0,25.5,21
RP67,-4.5,25.5,22
RP68,-19.5,26.5,23
RP69,-33.5,26.5,24
RP70,-29.0,32.5,25
RP71,-26.0,39.5,26
RP72,-6.5,37.0,27
RP73,6.5,38.0,28
RP74,25.5,39.5,29
RP75,29.0,32.5,30
RP76,39.0,42.0,31
RP77,31.0,43.0,32
RP78,5.5,45.5,33
RP79,-5.5,46.5,34
RP80,-31.5,43.0,35
RP81,-39.5,41.5,36
RP82,-42.5,48.0,37
RP83,-36.0,49.0,38
RP84,35.5,48.5,39
RP85,42.5,49.0,40
