,ty_le_xuat_hien
24:43:e2:fd:49:10,0.0012787723785166241
46:de:2a:d2:4c:87,0.0012787723785166241
74:ac:b9:ba:a6:bd,0.0012787723785166241
8e:dc:97:12:63:00,0.0012787723785166241
d6:bb:c8:ce:9a:87,0.0012787723785166241
e6:ae:8d:12:03:ea,0.0012787723785166241
94:b4:0f:e3:1d:51,0.0012787723785166241
9c:2b:a6:db:c8:3a,0.0012787723785166241
ce:10:db:fd:cf:41,0.0012787723785166241
7a:ac:b9:ba:a6:bd,0.0025575447570332483
76:92:56:0d:7e:c2,0.0025575447570332483
12:14:1c:4b:f1:18,0.0038363171355498722
88:dc:97:12:63:00,0.005115089514066497
74:83:c2:81:4a:6e,0.005115089514066497
6a:b5:34:d9:ec:48,0.005115089514066497
1a:9a:7a:c3:cf:d6,0.00639386189258312
40:e3:d6:cd:2d:30,0.0076726342710997444
7a:ac:b9:6a:1a:1f,0.0076726342710997444
40:e3:d6:cd:2d:20,0.008951406649616368
7e:ac:b9:6a:1a:1f,0.008951406649616368
40:e3:d6:cd:2d:31,0.010230179028132993
40:e3:d6:cd:2d:21,0.01278772378516624
da:d1:c5:59:62:f1,0.014066496163682864
06:b8:e6:dc:f8:06,0.014066496163682864
f6:a2:67:39:32:21,0.014066496163682864
94:b4:0f:e3:1d:41,0.015345268542199489
a6:30:f0:44:9b:13,0.015345268542199489
94:b4:0f:e3:1d:40,0.016624040920716114
4c:12:e8:9a:2d:01,0.017902813299232736
7a:83:c2:82:4a:6e,0.017902813299232736
82:ac:b9:6b:1a:1f,0.024296675191815855
7e:ac:b9:6b:1a:1f,0.024296675191815855
bc:a9:93:0b:fe:00,0.02557544757033248
74:ac:b9:6a:1a:1f,0.03580562659846547
68:ff:7b:d4:f1:ce,0.03580562659846547
7a:ac:b9:6b:1a:1f,0.0370843989769821
8e:dc:97:12:65:55,0.043478260869565216
88:dc:97:12:62:ff,0.04475703324808184
88:dc:97:12:65:55,0.04731457800511509
c2:a4:76:53:18:e4,0.049872122762148335
8e:dc:97:12:62:ff,0.05115089514066496
4c:12:e8:9a:2d:00,0.058823529411764705
68:ff:7b:d4:f1:cf,0.07033248081841433
c2:a4:76:d3:18:e4,0.07289002557544758
c2:a4:76:83:18:e4,0.0741687979539642
8e:dc:97:12:65:54,0.08695652173913043
c0:a4:76:23:18:e4,0.08823529411764706
88:dc:97:12:65:54,0.09207161125319693
54:af:97:6b:ba:ce,0.12531969309462915
88:dc:97:12:64:c5,0.1445012787723785
88:dc:97:12:62:cd,0.149616368286445
8e:dc:97:12:64:c5,0.1534526854219949
8e:dc:97:12:62:cd,0.17647058823529413
8e:dc:97:12:62:cc,0.4258312020460358
88:dc:97:12:62:cc,0.4437340153452685
8e:dc:97:12:64:c4,0.5268542199488491
88:dc:97:12:64:c4,0.5588235294117647
b4:5d:50:d7:e9:41,0.7071611253196931
b4:5d:50:d7:e9:40,0.7186700767263428
8e:dc:97:12:65:57,0.7250639386189258
8e:dc:97:12:62:c6,0.7480818414322251
88:dc:97:12:62:c6,0.7672634271099744
88:dc:97:12:65:57,0.7813299232736572
8e:dc:97:12:65:58,0.8081841432225064
88:dc:97:12:65:58,0.8184143222506394
88:dc:97:12:62:c7,0.8465473145780051
8e:dc:97:12:62:c7,0.8478260869565217
8e:dc:97:12:64:82,0.850383631713555
8e:dc:97:12:62:cf,0.8593350383631714
8e:dc:97:12:65:2a,0.870843989769821
88:dc:97:12:62:cf,0.8759590792838875
88:dc:97:12:64:82,0.8861892583120204
8e:dc:97:12:65:63,0.8938618925831202
88:dc:97:12:65:2a,0.8951406649616368
88:dc:97:12:65:63,0.928388746803069
b4:5d:50:d7:e9:51,0.9309462915601023
b4:5d:50:d7:e9:50,0.9322250639386189
8e:dc:97:12:65:21,0.9360613810741688
88:dc:97:12:64:83,0.9450127877237852
8e:dc:97:12:64:83,0.948849104859335
88:dc:97:12:65:22,0.9526854219948849
88:dc:97:12:65:21,0.9526854219948849
8e:dc:97:12:65:22,0.9629156010230179
88:dc:97:12:65:64,0.979539641943734
8e:dc:97:12:65:64,0.9846547314578005
88:dc:97:12:62:d0,0.9923273657289002
88:dc:97:12:65:2b,0.9923273657289002
8e:dc:97:12:65:2b,0.9936061381074168
8e:dc:97:12:62:d0,0.9974424552429667
