rp_id,so_mau,loi_trung_binh,loi_lon_nhat,x,y
RP18,3,15.397785329604366,30.364452901377952,-13.0,33.0
RP37,3,14.948218039025905,29.990542131258906,9.0,52.0
RP36,3,11.228466432758276,17.47221084915963,0.0,52.0
RP28,3,11.153339221627013,21.77916541126655,0.0,41.0
RP17,3,9.689627902499089,29.068883707497267,42.0,24.0
RP40,3,6.69876083866976,11.297958429986254,29.0,52.0
RP16,3,6.616211567840864,19.848634703522592,-42.0,24.0
RP33,4,5.411560699311892,15.0,-30.0,52.0
RP27,3,5.015775143768762,6.342817717249765,13.0,41.0
RP03,3,4.955356249106169,14.866068747318506,41.0,0.0
RP31,3,4.9519403935147634,9.0,13.0,45.0
RP29,3,4.841178997336733,11.238386088385775,-22.0,45.0
RP34,3,4.738377255029056,7.21513176508717,-23.0,52.0
RP39,3,4.107329734462231,8.386739057203984,22.0,52.0
RP26,3,3.272607035111072,5.021382150836285,-13.0,41.0
RP19,3,2.847604869970061,8.542814609910183,0.0,33.0
RP35,3,2.697649679963097,7.338671019127459,-15.0,52.0
RP32,3,2.6592093393046157,4.026216915228257,22.0,45.0
RP38,3,2.166022179220204,3.898914669845647,14.0,52.0
RP12,3,1.2495636876922107,3.7486910630766324,-26.0,22.0
RP04,3,1.151682457734127,3.455047373202381,-30.0,10.0
RP20,3,0.8298115116112884,2.4894345348338653,-22.0,34.0
RP23,3,0.7850972591229893,2.355291777368968,-36.0,35.0
RP30,3,0.42059293048514607,1.2617787914554381,-13.0,45.0
RP08,3,0.0,0.0,-30.0,14.0
RP07,3,0.0,0.0,30.0,10.0
RP06,3,0.0,0.0,8.0,10.0
RP05,3,0.0,0.0,-8.0,10.0
RP01,3,0.0,0.0,-41.0,0.0
RP02,3,0.0,0.0,0.0,0.0
RP24,3,0.0,0.0,36.0,35.0
RP15,3,0.0,0.0,26.0,22.0
RP10,3,0.0,0.0,-15.0,18.0
RP22,3,0.0,0.0,-43.0,35.0
RP21,3,0.0,0.0,22.0,34.0
RP09,3,0.0,0.0,38.0,7.0
RP11,3,0.0,0.0,0.0,18.0
RP13,3,0.0,0.0,-13.0,22.0
RP14,3,0.0,0.0,13.0,22.0
RP25,3,0.0,0.0,43.0,35.0
